No Of Abuse Report,No Of Rejected Friend Requests,No Of Freind Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
53,321,555,946,231,33,92,1
47,803,107,946,638,31,99,1
84,269,669,485,301,99,44,1
77,899,432,42,69,34,80,1
69,358,362,229,415,27,54,1
39,613,604,762,566,65,94,1
79,697,620,545,919,26,8,1
71,595,920,653,862,44,1,1
51,599,808,232,981,83,94,1
3,467,162,115,418,96,17,1
22,553,383,41,503,27,38,0
52,512,143,429,129,35,25,1
24,293,443,105,902,16,32,0
50,553,794,976,377,13,1,1
40,835,105,704,914,34,6,1
54,237,986,598,830,5,38,1
46,113,126,488,666,34,20,1
81,880,403,485,690,70,33,1
69,445,122,222,485,18,26,1
36,279,296,542,886,21,22,1
23,35,147,435,769,28,57,0
1,379,716,398,140,82,26,1
24,143,348,473,867,1,71,0
95,507,538,116,719,28,9,1
26,312,536,505,122,3,97,0
23,496,615,393,370,51,46,1
57,461,146,969,132,71,38,1
10,163,86,883,561,54,80,1
20,743,185,990,99,45,41,0
43,883,898,55,15,73,46,1
75,760,649,502,979,12,23,1
74,638,701,695,247,8,47,1
72,592,690,331,485,30,52,1
94,469,354,992,538,38,5,1
93,92,979,390,861,79,90,1
83,862,314,397,948,92,85,1
97,760,225,754,203,91,12,1
99,636,295,919,359,87,24,1
69,808,914,93,315,81,2,1
60,419,38,295,780,66,86,1
87,305,340,197,136,63,37,1
93,45,379,125,766,70,82,1
23,638,412,137,250,97,34,1
44,292,409,628,63,68,81,1
31,110,372,241,969,46,41,1
39,504,45,263,719,36,38,1
9,36,852,416,150,71,94,1
75,431,548,547,479,23,49,1
70,211,971,718,783,23,14,1
41,731,594,416,672,92,2,1
71,424,74,219,791,76,43,1
72,287,136,396,458,73,57,1
41,821,568,413,957,46,92,1
1,322,613,451,331,34,78,0
85,444,65,453,374,71,89,1
46,432,167,548,437,24,95,1
51,535,162,281,954,1,39,1
74,344,380,813,62,84,71,1
73,584,385,630,189,65,62,1
39,491,643,399,872,45,94,1
51,788,432,319,733,65,86,1
53,936,262,641,373,42,75,1
66,358,740,280,239,95,46,1
19,352,960,3,560,100,32,1
61,869,188,9,470,69,99,1
60,120,358,648,602,29,92,1
42,869,736,103,177,96,96,1
47,588,914,356,321,40,54,1
63,583,867,84,896,66,42,1
17,807,276,979,445,28,18,0
32,492,159,861,291,18,46,1
2,930,801,918,735,72,55,1
21,852,600,234,856,2,66,0
3,921,419,221,705,56,21,1
97,854,838,68,56,90,55,1
93,838,120,604,208,80,32,1
15,375,880,682,222,24,13,0
53,664,810,406,210,4,4,1
71,856,235,935,177,67,38,1
57,704,171,666,55,88,29,1
79,631,681,974,924,39,38,1
82,376,821,314,700,99,84,1
28,662,844,745,495,80,67,1
94,580,890,899,123,99,47,1
84,625,802,671,45,71,73,1
75,952,286,139,865,99,37,1
99,643,200,258,801,40,64,1
97,667,526,431,468,38,12,1
6,765,139,477,820,34,56,0
15,754,305,377,666,37,51,0
60,828,357,380,624,1,17,1
5,810,468,651,537,56,64,1
11,449,788,823,123,39,26,0
21,753,518,67,200,37,56,0
79,264,403,266,814,83,91,1
65,84,293,729,558,83,22,1
69,344,856,742,155,47,18,1
57,289,419,5,283,49,4,1
50,340,866,699,523,40,12,1
70,394,951,456,64,96,75,1
92,846,396,652,333,85,89,1
37,887,246,647,687,94,12,1
57,212,227,268,652,31,19,1
40,764,118,128,551,99,17,1
14,66,500,633,846,95,21,1
71,915,42,995,667,57,84,1
55,835,113,995,218,8,79,1
92,198,704,462,13,61,81,1
27,14,920,913,929,25,72,0
57,177,540,281,428,23,38,1
4,81,935,657,481,2,98,0
43,92,72,246,212,14,46,1
1,915,703,657,429,83,8,1
6,186,886,716,651,68,87,1
11,825,583,568,566,86,96,1
39,361,786,574,367,57,47,1
6,341,107,620,342,28,29,0
68,897,756,569,233,15,1,1
68,699,937,598,309,85,64,1
1,137,841,919,380,44,75,0
49,508,578,285,281,48,13,1
86,593,936,893,892,70,27,1
45,822,723,178,195,79,46,1
90,986,567,678,459,59,23,1
19,79,912,970,51,49,12,0
21,461,75,370,543,60,9,1
69,747,982,507,173,71,88,1
6,326,155,229,120,85,9,1
81,696,489,974,526,62,13,1
100,892,934,54,550,72,5,1
36,799,276,692,284,47,75,1
20,420,640,436,59,31,27,0
4,733,511,199,818,2,1,0
79,966,886,135,881,87,85,1
69,47,344,944,216,3,44,1
16,556,104,896,958,49,97,0
8,169,944,95,874,6,26,0
28,419,207,211,164,93,99,1
